Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Pass_Fail
22.0,F,College,50000.0,A,81.0,Medium,8.0,Law,Private,Low,High,Yes,Medium,Low,High,Negative,Medium,39.0,Yes,6.0,Unhealthy,Low,3.0,Yes,Neutral,Yes,No,Visual,Yes,Yes,Low,2.0,Low,Pass
21.0,M,Some College,60000.0,A,85.0,Medium,12.0,Law,Public,Low,Low,Yes,High,High,Low,Negative,High,75.0,Yes,5.0,Healthy,Low,9.0,No,Negative,No,No,Auditory,Yes,Yes,Medium,5.0,High,Pass
19.0,M,College,75000.0,C,93.0,Medium,12.0,Law,Private,Low,Medium,No,Low,Low,High,Positive,Medium,46.0,No,6.0,Unhealthy,High,7.0,No,Neutral,No,Yes,Visual,No,No,Low,2.0,High,Pass
21.0,M,College,60000.0,A,86.0,Low,15.0,Business,Public,Medium,Low,No,High,Medium,Medium,Positive,High,61.0,Yes,5.0,Balanced,High,9.0,Yes,Neutral,No,Yes,Auditory,Yes,Yes,Low,3.0,Medium,Fail
19.0,F,Some College,40000.0,B,89.0,High,15.0,Medicine,Public,Medium,Low,Yes,High,Low,High,Negative,Low,41.0,Yes,4.0,Unhealthy,Low,9.0,Yes,Positive,No,No,Auditory,Yes,Yes,Medium,3.0,High,Pass
19.0,M,College,40000.0,C,82.0,Medium,14.0,Law,Private,High,Low,Yes,High,High,Low,Negative,Low,61.0,No,8.0,Balanced,Medium,6.0,Yes,Negative,No,Yes,Auditory,Yes,No,Low,5.0,Low,Fail
20.0,F,Some College,30000.0,A,84.0,Low,13.0,Law,Private,High,Medium,No,High,High,High,Positive,High,82.0,Yes,7.0,Healthy,Low,5.0,No,Negative,Yes,Yes,Visual,No,No,High,5.0,Medium,Pass
21.0,M,College,40000.0,B,75.0,Low,5.0,Business,Public,High,Low,No,High,Low,High,Positive,Medium,38.0,Yes,5.0,Balanced,High,6.0,No,Positive,Yes,Yes,Visual,Yes,Yes,High,6.0,High,Pass
19.0,M,High School,75000.0,C,73.0,High,10.0,Law,Public,Low,Low,No,High,Medium,Low,Positive,High,52.0,Yes,7.0,Unhealthy,Medium,2.0,Yes,Neutral,No,No,Auditory,No,Yes,Low,4.0,High,Pass
21.0,F,Graduate,30000.0,A,81.0,High,6.0,Arts,Private,High,Low,Yes,High,Medium,High,Neutral,Low,41.0,No,6.0,Balanced,Medium,2.0,Yes,Negative,No,No,Visual,Yes,Yes,High,2.0,High,Pass
22.0,F,High School,75000.0,C,85.0,Low,9.0,Engineering,Private,High,Low,No,High,Low,Medium,Neutral,High,61.0,No,5.0,Unhealthy,High,7.0,Yes,Neutral,No,Yes,Auditory,No,No,Medium,5.0,Low,Pass
19.0,F,Graduate,30000.0,A,98.0,Low,9.0,Business,Private,Low,High,No,High,Low,Medium,Negative,High,44.0,Yes,9.0,Healthy,Low,4.0,Yes,Neutral,Yes,Yes,Visual,No,Yes,Medium,2.0,Low,Fail
22.0,F,High School,50000.0,C,72.0,High,20.0,Science,Private,Low,High,No,High,High,High,Positive,High,61.0,No,6.0,Healthy,Medium,7.0,Yes,Neutral,Yes,No,Kinesthetic,No,Yes,Low,2.0,Low,Fail
21.0,F,Some College,40000.0,C,79.0,Medium,18.0,Engineering,Public,High,High,Yes,High,Low,Low,Positive,Medium,47.0,Yes,7.0,Balanced,Medium,4.0,Yes,Neutral,No,No,Auditory,Yes,Yes,Medium,6.0,High,Fail
20.0,M,Some College,40000.0,B,82.0,High,12.0,Medicine,Public,Medium,Medium,Yes,High,High,Medium,Neutral,Low,26.0,No,6.0,Healthy,Medium,6.0,No,Positive,Yes,Yes,Auditory,No,Yes,Medium,6.0,Medium,Pass
20.0,F,Some College,30000.0,A,94.0,High,10.0,Law,Private,Low,High,No,Low,Low,Low,Positive,High,37.0,No,8.0,Healthy,Low,5.0,Yes,Positive,Yes,No,Auditory,No,No,Low,5.0,Low,Pass
21.0,M,College,75000.0,B,70.0,Low,9.0,Engineering,Public,Low,Medium,Yes,Low,Low,Medium,Neutral,Low,67.0,No,7.0,Healthy,Medium,8.0,Yes,Positive,Yes,Yes,Visual,No,No,Medium,4.0,Low,Pass
21.0,F,High School,50000.0,B,96.0,Medium,20.0,Arts,Private,High,Low,Yes,High,Low,High,Neutral,Medium,61.0,No,7.0,Healthy,High,6.0,Yes,Positive,No,Yes,Auditory,Yes,No,High,6.0,High,Pass
20.0,F,College,50000.0,A,79.0,High,20.0,Business,Private,Medium,High,Yes,Medium,Medium,Low,Positive,Medium,83.0,Yes,5.0,Balanced,High,9.0,No,Negative,No,Yes,Auditory,Yes,Yes,High,5.0,Low,Fail
19.0,F,Graduate,30000.0,C,75.0,High,19.0,Arts,Public,Medium,Low,Yes,Low,Medium,Medium,Positive,Low,68.0,No,6.0,Healthy,Medium,6.0,Yes,Positive,No,Yes,Auditory,No,Yes,Low,6.0,Medium,Pass
18.0,M,Graduate,60000.0,C,85.0,Medium,12.0,Science,Public,High,Medium,No,Low,High,High,Neutral,Medium,90.0,No,8.0,Unhealthy,High,7.0,No,Positive,Yes,Yes,Kinesthetic,No,Yes,High,2.0,Low,Pass
19.0,F,High School,40000.0,C,71.0,Low,20.0,Arts,Public,Medium,High,Yes,High,Medium,High,Neutral,High,21.0,Yes,9.0,Balanced,Low,7.0,Yes,Negative,Yes,No,Visual,No,Yes,Medium,3.0,Low,Pass
21.0,M,College,50000.0,A,98.0,Low,5.0,Science,Public,Low,Low,No,Medium,Low,Low,Neutral,Low,46.0,No,9.0,Unhealthy,High,5.0,No,Negative,Yes,Yes,Visual,No,Yes,Medium,4.0,Low,Fail
21.0,F,Some College,60000.0,C,73.0,High,15.0,Law,Public,High,Medium,Yes,Medium,High,Medium,Positive,Low,96.0,Yes,8.0,Balanced,High,6.0,No,Positive,Yes,No,Visual,No,No,High,3.0,Low,Pass
22.0,F,High School,30000.0,A,94.0,High,9.0,Business,Private,Medium,High,No,Medium,Low,Medium,Negative,High,89.0,Yes,8.0,Balanced,Low,3.0,Yes,Negative,No,No,Kinesthetic,No,No,Low,4.0,High,Fail
